region,Time,sex,edu,agest,prjpropfinal
25,2035,m,e1,15,0.5247851733320061
26,2035,m,e1,15,0.6590970325886011
27,2035,m,e1,15,0.8482184653737562
28,2035,m,e1,15,0.6042171559471295
29,2035,m,e1,15,0.6892085692591524
31,2035,m,e1,15,0.3394158975196021
32,2035,m,e1,15,0.27747925025740333
33,2035,m,e1,15,0.35895102296988624
35,2035,m,e1,15,0.3041172652384857
41,2035,m,e1,15,0.2840128397715522
42,2035,m,e1,15,0.22671009401612904
43,2035,m,e1,15,0.27851705038266844
50,2035,m,e1,15,0.29584432222479595
51,2035,m,e1,15,0.4340331698650901
52,2035,m,e1,15,0.3015404519489203
53,2035,m,e1,15,0.2819810060858623
11,2040,m,e1,15,0.3316311187947983
12,2040,m,e1,15,0.8376700577294536
13,2040,m,e1,15,0.7851739072565455
14,2040,m,e1,15,0.6593829850069831
15,2040,m,e1,15,0.5411632760401697
16,2040,m,e1,15,0.2503412046575304
17,2040,m,e1,15,0.27166895392616963
21,2040,m,e1,15,0.5315296209645822
22,2040,m,e1,15,0.410658750299202
23,2040,m,e1,15,0.3151281398591903
24,2040,m,e1,15,0.27634444457300916
25,2040,m,e1,15,0.35585772385477904
26,2040,m,e1,15,0.44652386013375106
27,2040,m,e1,15,0.580224675024857
28,2040,m,e1,15,0.41168693346360297
29,2040,m,e1,15,0.46913651847068194
31,2040,m,e1,15,0.22662155411848472
32,2040,m,e1,15,0.1849472306341598
33,2040,m,e1,15,0.23981975228147345
35,2040,m,e1,15,0.20142674683097864
41,2040,m,e1,15,0.1887743147332312
42,2040,m,e1,15,0.15020677691242162
43,2040,m,e1,15,0.18553908589238452
50,2040,m,e1,15,0.1978118001071175
51,2040,m,e1,15,0.2894724860496342
52,2040,m,e1,15,0.20095128827662095
53,2040,m,e1,15,0.18688488413897064
11,2045,m,e1,15,0.2503333590424238
12,2045,m,e1,15,0.6334769180739969
13,2045,m,e1,15,0.5970122238972876
14,2045,m,e1,15,0.4961038370895155
15,2045,m,e1,15,0.41382492325705306
16,2045,m,e1,15,0.18833099970422779
17,2045,m,e1,15,0.2044473548184544
21,2045,m,e1,15,0.40357802649910907
22,2045,m,e1,15,0.3122846172314525
23,2045,m,e1,15,0.23718851694931936
24,2045,m,e1,15,0.209076185400394
25,2045,m,e1,15,0.27061650839456003
26,2045,m,e1,15,0.3391835893146583
27,2045,m,e1,15,0.4446268993566026
28,2045,m,e1,15,0.3143551959922707
29,2045,m,e1,15,0.35797850524485625
31,2045,m,e1,15,0.17011268545742125
32,2045,m,e1,15,0.13862380871444946
33,2045,m,e1,15,0.18008440789087007
35,2045,m,e1,15,0.15010936802854183
41,2045,m,e1,15,0.14114897419948988
42,2045,m,e1,15,0.11199769904319132
43,2045,m,e1,15,0.13901682233057944
50,2045,m,e1,15,0.14872315216690069
51,2045,m,e1,15,0.21698835705396152
52,2045,m,e1,15,0.15059454319373916
53,2045,m,e1,15,0.13935861968355234
11,2050,m,e1,15,0.16809314447178203
12,2050,m,e1,15,0.4273271646546914
13,2050,m,e1,15,0.4045051514652013
14,2050,m,e1,15,0.33227950400879475
15,2050,m,e1,15,0.28233303582391506
16,2050,m,e1,15,0.12618714222016403
17,2050,m,e1,15,0.13688092643770858
21,2050,m,e1,15,0.272880676382776
22,2050,m,e1,15,0.2115807180745562
23,2050,m,e1,15,0.15887461637712602
24,2050,m,e1,15,0.1408762020042785
25,2050,m,e1,15,0.18336750592372544
26,2050,m,e1,15,0.2295695185293588
27,2050,m,e1,15,0.3035921543775406
28,2050,m,e1,15,0.21394109621986104
29,2050,m,e1,15,0.24330646725278535
31,2050,m,e1,15,0.11362159330073322
